city,state_id,lat,lng,population,zips
Tumwater,WA,46.9891,-122.9175,26519,98501 98512 98511
Sanger,CA,36.699,-119.5575,26515,93657
Rosemount,MN,44.7466,-93.0661,26509,55068
Paramus,NJ,40.9455,-74.0712,26500,07652 07653
Auburn,NY,42.9338,-76.5685,26475,13021 13024 13022
Venice,FL,27.1184,-82.4137,26467,34285 34292 34275
Owatonna,MN,44.0912,-93.2312,26462,55060
Forest Grove,OR,45.5243,-123.1097,26406,97116
Carolina Forest,SC,33.7651,-78.913,26373,29579
Elk River,MN,45.3314,-93.567,26367,55330
Elmira,NY,42.0938,-76.8097,26349,14901 14905 14904 14902
Woodstock,IL,42.3096,-88.4353,26316,60098
Leland,NC,34.2042,-78.0279,26307,28451 28479
Eureka,CA,40.7943,-124.1564,26302,95503 95501 95521 95502 95534
South Pasadena,CA,34.1103,-118.1573,26297,91030 91031
South Salt Lake,UT,40.7057,-111.8986,26277,84119 84115 84165 84190
Holbrook,NY,40.7944,-73.07,26256,11741
Plainview,NY,40.7832,-73.4732,26251,11803
Hercules,CA,38.0064,-122.2564,26245,94547 94572
Lockport,IL,41.5906,-88.0293,26228,60441
Wasco,CA,35.5938,-119.3671,26222,93280
Wilsonville,OR,45.3109,-122.7702,26183,97070
Elkridge,MD,39.1941,-76.7428,26183,21075 21076
Fairland,MD,39.0803,-76.9527,26183,20866 20904 20905
Trussville,AL,33.6405,-86.5815,26182,35235 35173
Windsor,CA,38.5422,-122.8089,26179,95492
Austin,MN,43.6721,-92.9784,26167,55912
East Chicago,IN,41.6469,-87.4545,26158,46312
Ives Estates,FL,25.9632,-80.183,26154,33179
Oxford,MS,34.3627,-89.5336,26086,38677 38655
Conway,SC,33.8401,-79.0431,26082,29527 29526 29528
Ridgewood,NJ,40.9821,-74.1127,26076,07450 07451
Medina,OH,41.1358,-81.8695,26040,44256
North Tustin,CA,33.7636,-117.7947,26038,92705 92780 92711
Cave Spring,VA,37.2254,-80.0072,26014,24018
Chanhassen,MN,44.8546,-93.5621,26001,55331 55317 55318
Franklin,IN,39.4948,-86.0544,25999,46131
Winona,MN,44.0505,-91.6684,25998,55959 55987
Norfolk,NE,42.0324,-97.4217,25962,68701 68702
Florence,AZ,33.059,-111.4209,25961,85132
Kuna,ID,43.488,-116.3933,25960,83634 83642
Lodi,NJ,40.8784,-74.0814,25946,07644
Fish Hawk,FL,27.8511,-82.2164,25945,33547
Colleyville,TX,32.8913,-97.1486,25906,76034
Imperial Beach,CA,32.5693,-117.118,25897,91932 91933
Moscow,ID,46.7308,-116.9986,25868,83843 83844
Ballenger Creek,MD,39.3807,-77.4206,25866,21704 21703
Terrytown,LA,29.9014,-90.0279,25844,70056
Fort Washington,MD,38.7339,-77.0069,25843,20744 20749
Key West,FL,24.5642,-81.7775,25824,33040 33041 33045
Grandview,MO,38.8802,-94.5227,25821,64030
Derby,KS,37.5571,-97.2551,25801,67037
Fort Hood,TX,31.1357,-97.7834,25786,76544
El Cerrito,CA,37.9196,-122.3025,25781,94530
Rockville Centre,NY,40.6643,-73.6383,25770,11570 11571
Staunton,VA,38.1593,-79.0611,25765,24401 24402
Sebastian,FL,27.7822,-80.4819,25759,32958 32978
Allendale,MI,42.9845,-85.9499,25741,49401
Palm City,FL,27.1735,-80.2862,25699,34990 34991
Columbine,CO,39.5879,-105.0694,25681,80128 80123
Medford,NY,40.822,-72.9859,25681,11763
Galt,CA,38.2698,-121.3004,25665,95632
Bessemer,AL,33.3712,-86.9728,25655,35022 35020
Pace,FL,30.6188,-87.1667,25630,32571
Immokalee,FL,26.4253,-81.4251,25624,34142 34143
Newberg,OR,45.3075,-122.9601,25622,97132
Starkville,MS,33.4608,-88.8297,25611,39759 39760
Inkster,MI,42.2935,-83.3148,25602,48141
Moses Lake,WA,47.1279,-119.2759,25594,98837
South Bradenton,FL,27.4612,-82.5822,25585,34205 34207 34210
Nocatee,FL,30.0927,-81.4095,25581,32095 32081
Cliffside Park,NJ,40.8222,-73.9879,25580,07010
Happy Valley,OR,45.4358,-122.5081,25572,97015 97089 97086
Xenia,OH,39.6829,-83.9413,25555,45385
Tarpon Springs,FL,28.1493,-82.7623,25522,34689
Okemos,MI,42.7057,-84.4135,25503,48864 48805
Stevens Point,WI,44.5241,-89.5507,25497,54481 54482
Peekskill,NY,41.2884,-73.9227,25484,10566
Salem,VA,37.2864,-80.0555,25477,24153 24155 24157
Mill Creek East,WA,47.8361,-122.1877,25461,98012
West Whittier-Los Nietos,CA,33.9759,-118.0689,25459,90606
Bailey's Crossroads,VA,38.8477,-77.1305,25458,22041 22311
Avon Lake,OH,41.4944,-82.0159,25456,44012
Reedley,CA,36.5988,-119.4471,25446,93654
West Chicago,IL,41.896,-88.2253,25434,60185 60186
Northdale,FL,28.1058,-82.5263,25420,33624 33548 33558
De Pere,WI,44.4308,-88.0785,25368,54115 54344
Ottumwa,IA,41.0195,-92.4186,25352,52501
Brandon,MS,32.2778,-89.9896,25352,39042 39043
Denison,TX,33.7672,-96.5808,25347,75020
Corsicana,TX,32.0824,-96.4665,25344,75110 75109 75151
Caledonia,WI,42.7986,-87.8762,25292,53405 53404 53406 53402 53126 53108
Sugar Hill,GA,34.108,-84.0558,25285,30518
Mercer Island,WA,47.5661,-122.232,25282,98040
Lafayette,CA,37.8919,-122.1189,25277,94549
Holt,MI,42.6416,-84.5308,25275,48842 48911
Mequon,WI,43.2352,-87.9839,25259,53097 53092
Dickinson,ND,46.8918,-102.7925,25216,58601 58602
Hazelwood,MO,38.7931,-90.3899,25214,63042 63044 63031
Norco,CA,33.9252,-117.5498,25211,92860
North Laurel,MD,39.1285,-76.8476,25201,20723
Walker,MI,42.9853,-85.7446,25201,49544 49534
Dinuba,CA,36.5453,-119.3987,25201,93618
Barstow,CA,34.8661,-117.0471,25198,92311
Carteret,NJ,40.5849,-74.2284,25187,07008
Edgewood,MD,39.419,-76.2964,25170,21010 21040
Muskego,WI,42.886,-88.1291,25156,53150
Simpsonville,SC,34.7287,-82.2569,25125,29680 29681
Mountain House,CA,37.7673,-121.5449,25108,95391
University Park,TX,32.8506,-96.7937,25104,75225 75205 75275
Avon,OH,41.4485,-82.0187,25082,44011
Perrysburg,OH,41.5377,-83.6413,25065,43551 43552
Kingsville,TX,27.5094,-97.861,25061,78363 78364
Bellview,FL,30.462,-87.312,25051,32526
Dix Hills,NY,40.8033,-73.3375,25042,11746
Newport,RI,41.4801,-71.3203,25029,02841 02840
King of Prussia,PA,40.0963,-75.3821,25025,19406 19484
Loma Linda,CA,34.045,-117.2498,25021,92350 92354 92324 92373 92318 92357
Hastings,NE,40.5961,-98.39,25005,68901 68902
Norton Shores,MI,43.1621,-86.2519,25000,49441 49444
Barberton,OH,41.0095,-81.6037,24977,44203
Romulus,MI,42.2237,-83.366,24951,48242 48174
Farmington,UT,40.9845,-111.9065,24934,84025
North Augusta,SC,33.5214,-81.9547,24928,29841 29860 29861
Auburn Hills,MI,42.6735,-83.2448,24911,48326 48321
Riverbank,CA,37.726,-120.9433,24881,95367 95357
Seal Beach,CA,33.7542,-118.0714,24868,90743 90740
Westchase,FL,28.0597,-82.611,24818,33626
Centerville,OH,39.6339,-84.1449,24815,45459 45458
Yukon,OK,35.5201,-97.7639,24802,73099 73085
Pecan Grove,TX,29.6235,-95.733,24798,77406
Fort Dodge,IA,42.5098,-94.1751,24788,50501
